"date","number","street","tickets"
2014-01-22,1600,"Union St",1
2014-01-23,1200,"11Th Ave",1
2014-01-23,300,"3Rd Ave",1
2014-01-23,100,"49Th St",1
2014-01-23,700,"7Th Ave",1
2014-01-23,800,"7Th Ave",1
2014-01-23,1300,"7Th Ave",1
2014-01-23,1400,"7Th Ave",1
2014-01-23,900,"8Th Ave",1
2014-01-23,1100,"8Th Ave",1
2014-01-23,800,"9Th Ave",1
2014-01-23,600,"Ash St",1
2014-01-23,8500,"Avd De Las Ondas ",1
2014-01-23,600,"Beech St",1
2014-01-23,800,"Beech St",1
2014-01-23,3200,"Bramson Pl",1
2014-01-23,800,"Broadway Cir",1
2014-01-23,900,"Broadway Cir",1
2014-01-23,2200,"Calle Clara ",1
2014-01-23,2300,"Calle Corta ",1
2014-01-23,2100,"Calle Frescota ",1
2014-01-23,8400,"Camino Del Oro ",1
2014-01-23,500,"Cedar St",1
2014-01-23,600,"Cedar St",1
2014-01-23,2000,"Columbia St",1
2014-01-23,600,"E St",1
2014-01-23,1000,"E St",1
2014-01-23,500,"F St",1
2014-01-23,900,"F St",1
2014-01-23,1000,"F St",1
2014-01-23,400,"Fir St",1
2014-01-23,100,"G St",1
2014-01-23,600,"G St",1
2014-01-23,700,"G St",1
2014-01-23,800,"G St",1
2014-01-23,600,"Gloria St",1
2014-01-23,700,"Gloria St",1
2014-01-23,5500,"Hardy Ave",1
2014-01-23,5600,"Hardy Ave",1
2014-01-23,600,"Island Ave",1
2014-01-23,700,"Island Ave",1
2014-01-23,300,"J St",1
2014-01-23,400,"J St",1
2014-01-23,900,"Kalmia St",1
2014-01-23,5500,"Lindo Paseo ",1
2014-01-23,5600,"Lindo Paseo ",1
2014-01-23,200,"Market St",1
2014-01-23,5600,"Montezuma Rd",1
2014-01-23,5700,"Montezuma Rd",1
2014-01-23,8100,"Paseo Del Ocaso ",1
2014-01-23,8200,"Paseo Del Ocaso ",1
2014-01-23,8400,"Paseo Del Ocaso ",1
2014-01-23,2100,"Paseo Dorado ",1
2014-01-23,2300,"Paseo Dorado ",1
2014-01-23,7200,"Rue Michael 7205 ",1
2014-01-23,1400,"State St",1
2014-01-23,1600,"State St",1
2014-01-23,2100,"State St",1
2014-01-23,500,"Union St",1
2014-01-23,600,"Union St",1
2014-01-23,2400,"Via Avola ",1
2014-01-24,300,"11Th Ave",1
2014-01-24,400,"11Th Ave",1
2014-01-24,400,"2Nd Ave",1
2014-01-24,1100,"A St",1
2014-01-24,2100,"Avenida Da La Playa ",1
2014-01-24,500,"F St",1
2014-01-24,100,"J St",1
2014-01-24,4600,"Ocean Blvd",1
2014-01-24,4200,"Pt Loma Blvd",1
2014-01-24,4300,"Pt Loma Blvd",1
2014-01-24,4400,"Pt Loma Blvd",1
2014-01-24,4600,"Pt Loma Blvd",1
2014-01-24,4700,"Pt Loma Blvd",1
2014-01-27,900,"15Th St",1
2014-01-27,1000,"15Th St",1
2014-01-27,3600,"Bellingham Ave",1
2014-01-27,1300,"Columbia St",1
2014-01-27,900,"F St",1
2014-01-27,1600,"F St",1
2014-01-27,1000,"India St",1
2014-01-27,600,"Island Ave",1
2014-01-27,1500,"Island Ave",1
2014-01-27,3900,"Louisiana Ave",1
2014-01-27,4000,"Louisiana Ave",1
2014-01-27,4100,"Louisiana Ave",1
2014-01-27,4300,"Louisiana Ave",1
2014-01-27,4400,"Louisiana Ave",1
2014-01-27,4500,"Louisiana Ave",1
2014-01-27,4600,"Ocean Blvd",1
2014-01-27,1600,"Pentecost Way",1
2014-01-27,600,"Union St",1
2014-01-28,1000,"15Th St",1
2014-01-28,5800,"37Th St",1
2014-01-28,5400,"55Th St",1
2014-01-28,700,"Beech St",1
2014-01-28,800,"Beech St",1
2014-01-28,5700,"Hardy Ave",1
2014-01-28,5500,"Lindo Paseo ",1
2014-01-28,5600,"Lindo Paseo ",1
2014-01-28,3900,"Louisiana Ave",1
2014-01-28,4000,"Louisiana Ave",1
2014-01-28,4100,"Louisiana Ave",1
2014-01-28,4200,"Louisiana Ave",1
2014-01-28,4300,"Louisiana Ave",1
2014-01-28,4500,"Louisiana Ave",1
2014-01-28,5500,"Montezuma Rd",1
2014-01-28,5600,"Montezuma Rd",1
2014-01-28,5700,"Montezuma Rd",1
2014-01-28,5800,"Montezuma Rd",1
2014-01-29,4000,"30Th St",1
2014-01-29,4100,"30Th St",1
2014-01-29,4300,"30Th St",1
2014-01-29,600,"E St",1
2014-01-29,1000,"E St",1
2014-01-29,600,"Kettner Blvd",1
2014-01-29,800,"Kettner Blvd",1
2014-01-29,4100,"Poinsettia Dr",1
2014-01-29,1700,"State St",1
2014-01-29,2200,"State St",1
2014-01-29,1500,"Union St",1
2014-01-29,100,"University Ave",1
2014-01-29,700,"University Ave",1
2014-01-29,800,"University Ave",1
2014-01-29,1200,"University Ave",1
2014-01-29,1700,"University Ave",1
2014-01-29,2800,"University Ave",1
2014-01-29,100,"Washington St",1
2014-01-29,800,"Washington St",1
2014-01-30,400,"11Th Ave",1
2014-01-30,600,"11Th Ave",1
2014-01-30,1000,"1St Ave",1
2014-01-30,1200,"32Nd St",1
2014-01-30,4300,"43Rd St",1
2014-01-30,5400,"55Th St",1
2014-01-30,1200,"9Th Ave",1
2014-01-30,2000,"C St",1
2014-01-30,400,"E St",1
2014-01-30,500,"E St",1
2014-01-30,700,"E St",1
2014-01-30,900,"E St",1
2014-01-30,1300,"F St",1
2014-01-30,700,"G St",1
2014-01-30,1000,"G St",1
2014-01-30,5500,"Hardy Ave",1
2014-01-30,5700,"Hardy Ave",1
2014-01-30,600,"Island Ave",1
2014-01-30,700,"Island Ave",1
2014-01-30,700,"Ivy St",1
2014-01-30,600,"J St",1
2014-01-30,500,"K St",1
2014-01-30,900,"Kalmia St",1
2014-01-30,5500,"Lindo Paseo ",1
2014-01-30,5600,"Lindo Paseo ",1
2014-01-30,5600,"Montezuma Rd",1
2014-01-30,5700,"Montezuma Rd",1
2014-01-30,600,"State St",1
2014-01-30,700,"Union St",1
2014-01-31,2700,"Cable St",1
2014-01-31,5100,"Muir Ave",1
2014-02-03,4800,"Jarette Ct",1
2014-02-03,1600,"Pentecost Way",1
2014-02-04,700,"13Thst ",1
2014-02-04,800,"13Thst ",1
2014-02-04,1000,"15Th St",1
2014-02-04,5400,"55Th St",1
2014-02-04,1200,"9Th Ave",1
2014-02-04,1300,"B St",1
2014-02-04,800,"Beech St",1
2014-02-04,1400,"Broadway Mtr 1423 ",1
2014-02-04,1400,"Broadway Mtr 1425 ",1
2014-02-04,200,"Gst ",1
2014-02-04,5700,"Hardy Ave",1
2014-02-04,700,"Island Ave",1
2014-02-04,5500,"Lindo Paseo ",1
2014-02-04,5600,"Lindo Paseo ",1
2014-02-04,5800,"Lindo Paseo ",1
2014-02-04,5100,"Montezuma Pl",1
2014-02-04,5500,"Montezuma Rd",1
2014-02-04,5600,"Montezuma Rd",1
2014-02-04,5700,"Montezuma Rd",1
2014-02-04,6100,"Montezuma Rd",1
2014-02-04,700,"San Gabriel Pl",1
2014-02-05,1400,"8Th Ave",1
2014-02-05,1400,"Columbia St",1
2014-02-05,4000,"Dawes St",1
2014-02-05,1100,"E St",1
2014-02-05,900,"Kalmia St",1
2014-02-05,1700,"La Cima Dr",1
2014-02-05,1400,"La Mancha Dr",1
2014-02-06,5400,"55Th St",1
2014-02-06,1400,"9Th Ave",1
2014-02-06,1400,"Beyer Blvd",1
2014-02-06,700,"Broadway Cir",1
2014-02-06,7900,"Calle De La Plata ",1
2014-02-06,3500,"Haines St",1
2014-02-06,5500,"Hardy Ave",1
2014-02-06,5600,"Hardy Ave",1
2014-02-06,600,"Island Ave",1
2014-02-06,700,"Ivy St",1
2014-02-06,5500,"Lindo Paseo ",1
2014-02-06,5600,"Lindo Paseo ",1
2014-02-06,5700,"Lindo Paseo ",1
2014-02-06,5600,"Montezuma Rd",1
2014-02-06,5700,"Montezuma Rd",1
2014-02-06,1200,"Parker Pl",1
2014-02-06,8000,"Paseo Del Ocaso ",1
2014-02-06,8200,"Paseo Del Ocaso ",1
2014-02-06,8300,"Paseo Del Ocaso ",1
2014-02-06,1400,"Roosevelt Ave",1
2014-02-06,2200,"State St",1
2014-02-06,2300,"State St",1
2014-02-06,500,"Union St",1
2014-02-06,600,"Union St",1
2014-02-07,900,"Mission Bay Dr",1
2014-02-10,4000," ",1
2014-02-10,900,"15Th St",1
2014-02-10,1000,"15Th St",1
2014-02-10,4100,"34Th St",1
2014-02-10,2200,"Avenida De La Playa ",1
2014-02-10,1400,"B St",1
2014-02-10,400,"Boundary St",1
2014-02-10,1300,"El Prado ",1
2014-02-10,600,"Island Ave",1
2014-02-10,800,"Island Ave",1
2014-02-10,900,"Kettner Blvd",1
2014-02-10,3900,"Louisiana Ave",1
2014-02-10,4000,"Louisiana Ave",1
2014-02-10,4100,"Louisiana Ave",1
2014-02-10,4300,"Louisiana Ave",1
2014-02-10,4400,"Louisiana Ave",1
2014-02-10,4500,"Louisiana Ave",1
2014-02-10,4600,"Louisiana Ave",1
2014-02-10,700,"Mission Blvd",1
2014-02-10,1600,"Pentecost Way",1
2014-02-10,500,"Union St",1
2014-02-10,600,"Union St",1
2014-02-10,4100,"Wabash Ave",1
2014-02-11,2100,2090,1
2014-02-11,1200,"10Th Ave",1
2014-02-11,1500,"13Th St",1
2014-02-11,1000,"15Th St",1
2014-02-11,5400,"55Th St",1
2014-02-11,1300,"B St",1
2014-02-11,1400,"B St",1
2014-02-11,800,"Beech St",1
2014-02-11,700,"Broadway Cir",1
2014-02-11,5700,"Hardy Ave",1
2014-02-11,600,"Island Ave",1
2014-02-11,5500,"Lindo Paseo ",1
2014-02-11,5600,"Lindo Paseo ",1
2014-02-11,3900,"Louisiana Ave",1
2014-02-11,4000,"Louisiana Ave",1
2014-02-11,4100,"Louisiana Ave",1
2014-02-11,4300,"Louisiana Ave",1
2014-02-11,4400,"Louisiana Ave",1
2014-02-11,4500,"Louisiana Ave",1
2014-02-11,4600,"Louisiana Ave",1
2014-02-11,5100,"Montezuma Pl",1
2014-02-11,5600,"Montezuma Rd",1
2014-02-11,5700,"Montezuma Rd",1
2014-02-11,1000,"State St",1
2014-02-11,500,"Union St",1
2014-02-12,1000,"E St",1
2014-02-12,100,"Elm Ave",1
2014-02-12,2000,"Saratoga Ave",1
2014-02-13,500,"11Th Ave",1
2014-02-13,5400,"55Th St",1
2014-02-13,1300,"8Th Ave",1
2014-02-13,1400,"8Th Ave",1
2014-02-13,400,"9Th Ave",1
2014-02-13,3200,"Bramson Pl",1
2014-02-13,2200,"Calle Clara ",1
2014-02-13,7900,"Calle De La Plata ",1
2014-02-13,8000,"Calle De La Plata ",1
2014-02-13,700,"Date St",1
2014-02-13,400,"Elm St",1
2014-02-13,1300,"Fern St",1
2014-02-13,5600,"Hardy Ave",1
2014-02-13,5700,"Hardy Ave",1
2014-02-13,300,"J St",1
2014-02-13,5500,"Lindo Paseo ",1
2014-02-13,5600,"Lindo Paseo ",1
2014-02-13,5700,"Lindo Paseo ",1
2014-02-13,5800,"Lindo Paseo ",1
2014-02-13,2000,"Lowry Pl",1
2014-02-13,5100,"Montezuma Pl",1
2014-02-13,5600,"Montezuma Rd",1
2014-02-13,5700,"Montezuma Rd",1
2014-02-13,50200,"Newport Ave",1
2014-02-13,7900,"Paseo Del Ocaso ",1
2014-02-13,8000,"Paseo Del Ocaso ",1
2014-02-13,8200,"Paseo Del Ocaso ",1
2014-02-13,8400,"Paseo Del Ocaso ",1
2014-02-13,2300,"Paseo Dorado ",1
2014-02-13,2200,"State St",1
2014-02-14,600,"E St",1
2014-02-14,1100,"E St",1
2014-02-14,100,"J St",1
2014-02-14,600,"J St",1
2014-02-14,600,"Law St",1
2014-02-14,4600,"Ocean Blvd",1
2014-02-14,700,"Reed Ave",1
2014-02-14,500,"Union St",1
2014-02-14,600,"Union St",1
2014-02-18,-1,"17Th St",1
2014-02-18,1600,"17Th St",1
2014-02-18,2800,"28Th St",1
2014-02-18,5400,"55Th St",1
2014-02-18,4600,"Archwood Ave",1
