id,stusab,chariter,sequence,logrecno,b08526001,b08526002,b08526003,b08526004,b08526005,b08526006,b08526007,b08526008,b08526009,b08526010,b08526011,b08526012,b08526013,b08526014,b08526015,b08526016,b08526017,b08526018,b08526019,b08526020,b08526021,b08526022,b08526023,b08526024,b08526025,b08526026,b08526027,b08526028,b08526029,b08526030,b08526031,b08526032,b08526033,b08526034,b08526035,b08526036,b08526037,b08526038,b08526039,b08526040,b08526041,b08526042,b08526043,b08526044,b08526045,b08526046,b08526047,b08526048,b08526049,b08526050,b08526051,b08526052,b08526053,b08526054,b08526055,b08526056,b08526057,b08526058,b08526059,b08526060,b08526061,b08526062,b08526063,b08526064,b08526065,b08526066,b08526067,b08526068,b08526069,b08526070,b08526071,b08526072,b08526073,b08526074,b08526075,b08526076,b08526077,b08526078,b08526079,b08526080,b08526081,b08526082,b08526083,b08526084,b08526085,b08526086,b08526087,b08526088,b08526089,b08526090,b08526091,b08526092,b08526093,b08526094,b08526095,b08526096,b08526097,b08526098,b08526099,b08526100,b08526101,b08526102,b08526103,b08526104,b08526105,geoid,gvid,sumlevel,jam_flags
11,al,0,5,22,5752.0,323.0,494.0,1005.0,170.0,676.0,268.0,31.0,162.0,215.0,1355.0,299.0,368.0,371.0,15.0,4432.0,129.0,280.0,763.0,138.0,634.0,200.0,31.0,153.0,201.0,1158.0,243.0,328.0,174.0,0.0,819.0,108.0,198.0,201.0,3.0,42.0,0.0,0.0,9.0,0.0,171.0,36.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,0.0,0.0,257.0,0.0,0.0,36.0,0.0,0.0,40.0,0.0,0.0,0.0,7.0,0.0,4.0,155.0,15.0,150.0,21.0,16.0,5.0,29.0,0.0,28.0,0.0,0.0,14.0,19.0,4.0,8.0,6.0,0.0,05000US01019,,,
12,al,0,5,23,10371.0,317.0,1173.0,1268.0,391.0,1671.0,741.0,65.0,473.0,644.0,1667.0,853.0,630.0,478.0,0.0,8402.0,207.0,822.0,1199.0,322.0,1523.0,629.0,37.0,400.0,333.0,1399.0,539.0,517.0,475.0,0.0,1417.0,44.0,331.0,69.0,51.0,127.0,45.0,19.0,2.0,253.0,181.0,249.0,43.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,46.0,10.0,30.0,2.0,45.0,0.0,0.0,104.0,44.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0,16.0,9.0,7.0,0.0,0.0,291.0,22.0,15.0,0.0,5.0,21.0,47.0,9.0,25.0,34.0,41.0,54.0,18.0,0.0,0.0,05000US01021,,,
13,al,0,5,24,4120.0,282.0,305.0,870.0,67.0,507.0,209.0,2.0,108.0,236.0,832.0,188.0,233.0,281.0,0.0,3419.0,228.0,220.0,787.0,33.0,417.0,183.0,2.0,102.0,176.0,710.0,151.0,167.0,243.0,0.0,429.0,8.0,73.0,67.0,0.0,41.0,22.0,0.0,0.0,0.0,91.0,37.0,60.0,30.0,0.0,27.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,47.0,4.0,12.0,0.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,0.0,0.0,16.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,42.0,0.0,0.0,0.0,33.0,4.0,0.0,6.0,60.0,24.0,0.0,6.0,0.0,0.0,05000US01023,,,
14,al,0,5,25,9648.0,522.0,615.0,2015.0,212.0,1560.0,554.0,160.0,490.0,286.0,1816.0,545.0,530.0,319.0,24.0,8319.0,370.0,465.0,1740.0,175.0,1363.0,417.0,116.0,470.0,272.0,1688.0,502.0,469.0,272.0,0.0,935.0,125.0,107.0,238.0,28.0,94.0,115.0,18.0,12.0,7.0,116.0,0.0,27.0,43.0,5.0,59.0,19.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,36.0,0.0,9.0,18.0,0.0,0.0,0.0,3.0,0.0,10.0,34.0,0.0,0.0,147.0,8.0,0.0,27.0,0.0,49.0,0.0,0.0,0.0,0.0,7.0,33.0,0.0,4.0,19.0,78.0,0.0,7.0,10.0,0.0,0.0,22.0,26.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,05000US01025,,,
15,al,0,5,26,4111.0,212.0,238.0,1587.0,90.0,260.0,208.0,75.0,103.0,154.0,712.0,146.0,150.0,167.0,9.0,3262.0,135.0,164.0,1213.0,52.0,241.0,164.0,75.0,92.0,94.0,599.0,123.0,135.0,166.0,9.0,481.0,1.0,55.0,284.0,38.0,6.0,0.0,0.0,11.0,0.0,86.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,66.0,0.0,0.0,18.0,0.0,12.0,0.0,0.0,0.0,0.0,8.0,16.0,12.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,9.0,0.0,3.0,1.0,0.0,268.0,76.0,17.0,72.0,0.0,1.0,32.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,0.0,05000US01027,,,
16,al,0,5,27,3139.0,274.0,553.0,523.0,40.0,498.0,65.0,61.0,77.0,259.0,455.0,72.0,99.0,163.0,0.0,2395.0,128.0,359.0,400.0,40.0,443.0,13.0,58.0,75.0,237.0,373.0,68.0,47.0,154.0,0.0,441.0,94.0,112.0,74.0,0.0,0.0,48.0,0.0,0.0,11.0,73.0,0.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,10.0,8.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,0.0,32.0,0.0,0.0,19.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,194.0,42.0,74.0,6.0,0.0,45.0,0.0,3.0,2.0,11.0,6.0,0.0,5.0,0.0,0.0,05000US01029,,,
17,al,0,5,28,17104.0,709.0,1255.0,2313.0,320.0,2693.0,780.0,170.0,1101.0,879.0,3353.0,1175.0,825.0,842.0,689.0,14343.0,377.0,956.0,1811.0,274.0,2229.0,679.0,156.0,1081.0,725.0,3045.0,883.0,738.0,803.0,586.0,1735.0,131.0,203.0,431.0,34.0,301.0,58.0,14.0,5.0,46.0,188.0,188.0,20.0,30.0,86.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,245.0,57.0,0.0,0.0,4.0,68.0,10.0,0.0,0.0,12.0,45.0,33.0,16.0,0.0,0.0,255.0,11.0,11.0,53.0,0.0,36.0,23.0,0.0,0.0,0.0,41.0,57.0,14.0,9.0,0.0,519.0,133.0,85.0,15.0,8.0,59.0,10.0,0.0,15.0,92.0,34.0,14.0,37.0,0.0,17.0,05000US01031,,,
18,al,0,5,29,23083.0,341.0,2045.0,4020.0,961.0,2689.0,1941.0,242.0,965.0,1627.0,4203.0,1539.0,1494.0,981.0,35.0,20263.0,292.0,1559.0,3598.0,827.0,2418.0,1700.0,211.0,835.0,1492.0,3878.0,1227.0,1288.0,903.0,35.0,2103.0,12.0,396.0,398.0,77.0,221.0,166.0,20.0,74.0,56.0,270.0,224.0,134.0,55.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,14.0,13.0,12.0,0.0,9.0,0.0,0.0,23.0,10.0,0.0,42.0,9.0,0.0,0.0,177.0,0.0,8.0,0.0,6.0,10.0,54.0,0.0,15.0,22.0,3.0,3.0,33.0,23.0,0.0,387.0,23.0,69.0,12.0,51.0,31.0,0.0,11.0,18.0,47.0,52.0,43.0,30.0,0.0,0.0,05000US01033,,,
19,al,0,5,30,3673.0,201.0,168.0,771.0,95.0,393.0,467.0,48.0,65.0,22.0,813.0,199.0,155.0,276.0,0.0,3234.0,165.0,128.0,628.0,23.0,375.0,454.0,48.0,65.0,22.0,746.0,168.0,136.0,276.0,0.0,338.0,8.0,40.0,143.0,72.0,4.0,13.0,0.0,0.0,0.0,27.0,31.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,47.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,05000US01035,,,
20,al,0,5,31,2067.0,124.0,186.0,585.0,87.0,114.0,208.0,25.0,6.0,69.0,411.0,49.0,92.0,111.0,0.0,1568.0,98.0,22.0,437.0,67.0,114.0,185.0,25.0,6.0,50.0,365.0,40.0,71.0,88.0,0.0,234.0,0.0,42.0,113.0,20.0,0.0,23.0,0.0,0.0,0.0,13.0,0.0,12.0,11.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,186.0,26.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,9.0,0.0,12.0,0.0,05000US01037,,,
21,al,0,5,32,14247.0,739.0,1240.0,2641.0,497.0,2093.0,906.0,141.0,470.0,1011.0,2550.0,749.0,655.0,513.0,42.0,11465.0,485.0,791.0,2107.0,433.0,1880.0,806.0,126.0,317.0,727.0,2226.0,541.0,513.0,471.0,42.0,1683.0,16.0,296.0,435.0,8.0,122.0,55.0,6.0,80.0,239.0,208.0,137.0,81.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,63.0,12.0,25.0,46.0,23.0,0.0,0.0,12.0,0.0,51.0,27.0,43.0,0.0,0.0,396.0,41.0,82.0,56.0,0.0,57.0,33.0,0.0,38.0,33.0,26.0,0.0,0.0,30.0,0.0,355.0,134.0,13.0,18.0,10.0,11.0,12.0,9.0,23.0,12.0,39.0,44.0,18.0,12.0,0.0,05000US01039,,,
22,al,0,5,33,4558.0,542.0,276.0,888.0,352.0,463.0,302.0,92.0,152.0,161.0,664.0,330.0,115.0,207.0,14.0,3436.0,170.0,228.0,555.0,321.0,424.0,203.0,89.0,127.0,142.0,597.0,285.0,74.0,207.0,14.0,666.0,106.0,24.0,319.0,28.0,19.0,58.0,0.0,5.0,0.0,64.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,13.0,0.0,0.0,2.0,11.0,35.0,3.0,13.0,8.0,0.0,0.0,11.0,0.0,0.0,54.0,11.0,0.0,3.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,306.0,242.0,24.0,11.0,0.0,0.0,0.0,0.0,7.0,11.0,3.0,0.0,8.0,0.0,0.0,05000US01041,,,
23,al,0,5,34,28036.0,1267.0,2170.0,5017.0,981.0,4161.0,1763.0,159.0,1181.0,1275.0,5472.0,2227.0,1544.0,724.0,95.0,22591.0,639.0,1283.0,4181.0,824.0,3509.0,1507.0,120.0,1063.0,1025.0,4777.0,1779.0,1110.0,679.0,95.0,3829.0,262.0,770.0,616.0,69.0,546.0,112.0,25.0,60.0,129.0,563.0,287.0,345.0,45.0,0.0,79.0,0.0,3.0,13.0,0.0,9.0,25.0,0.0,9.0,0.0,17.0,3.0,0.0,0.0,0.0,349.0,135.0,10.0,27.0,0.0,16.0,8.0,0.0,0.0,17.0,11.0,87.0,38.0,0.0,0.0,288.0,0.0,53.0,103.0,9.0,0.0,46.0,11.0,41.0,22.0,3.0,0.0,0.0,0.0,0.0,900.0,231.0,51.0,77.0,79.0,81.0,65.0,3.0,8.0,82.0,101.0,71.0,51.0,0.0,0.0,05000US01043,,,
24,al,0,5,35,22563.0,197.0,1409.0,1626.0,312.0,1019.0,3472.0,175.0,572.0,1375.0,3301.0,1333.0,767.0,2758.0,4247.0,18170.0,122.0,973.0,1386.0,305.0,906.0,2954.0,131.0,479.0,1217.0,2988.0,953.0,642.0,2419.0,2695.0,2441.0,19.0,382.0,166.0,2.0,54.0,426.0,44.0,43.0,98.0,214.0,298.0,77.0,216.0,402.0,69.0,0.0,0.0,9.0,0.0,0.0,30.0,0.0,0.0,13.0,14.0,3.0,0.0,0.0,0.0,1277.0,9.0,8.0,28.0,5.0,18.0,10.0,0.0,26.0,2.0,13.0,27.0,20.0,109.0,1002.0,313.0,10.0,8.0,12.0,0.0,0.0,42.0,0.0,0.0,3.0,48.0,52.0,13.0,14.0,111.0,293.0,37.0,38.0,25.0,0.0,41.0,10.0,0.0,24.0,42.0,24.0,0.0,15.0,0.0,37.0,05000US01045,,,
25,al,0,5,36,14601.0,157.0,786.0,3562.0,371.0,1534.0,617.0,141.0,567.0,649.0,3411.0,608.0,1130.0,1068.0,0.0,12314.0,157.0,609.0,2871.0,288.0,1345.0,556.0,117.0,542.0,570.0,2917.0,426.0,915.0,1001.0,0.0,1714.0,0.0,146.0,631.0,40.0,125.0,61.0,17.0,25.0,50.0,314.0,85.0,176.0,44.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,123.0,0.0,16.0,19.0,8.0,10.0,0.0,7.0,0.0,0.0,17.0,18.0,13.0,15.0,0.0,245.0,0.0,0.0,20.0,24.0,34.0,0.0,0.0,0.0,10.0,90.0,67.0,0.0,0.0,0.0,176.0,0.0,15.0,21.0,11.0,20.0,0.0,0.0,0.0,19.0,44.0,12.0,26.0,8.0,0.0,05000US01047,,,
26,al,0,5,37,23007.0,980.0,1435.0,7422.0,806.0,2558.0,991.0,262.0,974.0,1040.0,3380.0,1299.0,993.0,867.0,0.0,19065.0,579.0,924.0,6347.0,636.0,2266.0,837.0,222.0,883.0,887.0,2854.0,985.0,788.0,857.0,0.0,2742.0,93.0,474.0,916.0,90.0,145.0,84.0,18.0,50.0,91.0,391.0,285.0,103.0,2.0,0.0,45.0,0.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,318.0,38.0,0.0,15.0,49.0,67.0,34.0,6.0,5.0,3.0,10.0,29.0,62.0,0.0,0.0,222.0,47.0,5.0,71.0,0.0,41.0,9.0,0.0,25.0,12.0,12.0,0.0,0.0,0.0,0.0,615.0,223.0,18.0,50.0,31.0,39.0,27.0,16.0,11.0,42.0,110.0,0.0,40.0,8.0,0.0,05000US01049,,,
27,al,0,5,38,16599.0,232.0,1931.0,2077.0,232.0,2455.0,626.0,104.0,719.0,1018.0,3380.0,1503.0,1274.0,1021.0,27.0,13386.0,150.0,1335.0,1732.0,182.0,2139.0,547.0,95.0,644.0,794.0,2743.0,1169.0,862.0,969.0,25.0,1956.0,38.0,413.0,272.0,23.0,176.0,57.0,0.0,12.0,54.0,475.0,233.0,165.0,38.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,282.0,8.0,38.0,0.0,0.0,19.0,0.0,0.0,8.0,17.0,3.0,96.0,93.0,0.0,0.0,202.0,10.0,51.0,46.0,0.0,77.0,4.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,2.0,745.0,26.0,94.0,27.0,27.0,44.0,5.0,9.0,55.0,153.0,141.0,5.0,145.0,14.0,0.0,05000US01051,,,
28,al,0,5,39,13395.0,360.0,1190.0,2236.0,290.0,1692.0,654.0,295.0,668.0,515.0,2389.0,1221.0,769.0,1116.0,0.0,11647.0,283.0,815.0,2073.0,237.0,1617.0,594.0,287.0,613.0,437.0,2029.0,1066.0,604.0,992.0,0.0,1271.0,59.0,300.0,127.0,16.0,41.0,16.0,8.0,18.0,45.0,248.0,142.0,127.0,124.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,48.0,5.0,25.0,20.0,0.0,0.0,37.0,0.0,13.0,0.0,15.0,0.0,0.0,128.0,9.0,5.0,22.0,0.0,0.0,24.0,0.0,0.0,22.0,33.0,13.0,0.0,0.0,0.0,164.0,9.0,0.0,9.0,12.0,14.0,20.0,0.0,0.0,11.0,66.0,0.0,23.0,0.0,0.0,05000US01053,,,
